application_id,filing_year,tech_domain,applicant_type,country_origin,industry_sector,international_filing,prior_examination,commercial_potential,market_size_estimate,processing_fee_usd,number_of_claims,number_of_citations,complexity_level,examiner_load,novelty_score,grant_probability,office_action_count
PAT-2001-098,2023,ai_ml,2,USA,software,True,1,Yes,21.49,3352.96,49,33,3,Medium,Marginal,Low,4
PAT-2001-099,2022,quantum,3,USA,cybersecurity,False,1,Yes,24.73,5392.27,15,45,2,Low,Moderate,High,1
PAT-2001-100,2022,blockchain,3,USA,fintech,False,0,Yes,23.46,8400.14,9,8,1,Medium,Moderate,Medium,0
PAT-2001-101,2023,ai_ml,1,CHN,software,False,1,No,52.41,6708.23,25,54,3,Medium,Breakthrough,Very High,4
PAT-2001-102,2024,iot,3,RUS,hardware,False,0,Yes,160.76,3384.48,26,12,1,Medium,Moderate,Medium,1
PAT-2001-103,2024,cybersecurity,1,CHN,telecom,False,1,No,10.03,3193.08,11,19,1,Low,Significant,Medium,2
PAT-2001-104,2022,quantum,2,USA,hardware,True,1,No,19.58,7046.55,25,33,3,Medium,Breakthrough,High,3
PAT-2001-105,2022,ai_ml,2,USA,software,True,1,Yes,500.0,3518.2,18,28,3,Low,Significant,High,3
PAT-2001-106,2023,ai_ml,3,USA,software,True,0,Yes,492.12,7143.53,25,10,3,Low,Moderate,High,4
PAT-2001-107,2021,cybersecurity,1,DEU,software,True,1,No,25.21,9456.76,24,30,1,High,Moderate,Medium,5
PAT-2001-108,2023,cybersecurity,2,CHN,software,True,0,Yes,116.47,7466.8,18,6,2,Low,Moderate,Medium,3
PAT-2001-109,2022,iot,2,DEU,hardware,False,1,Yes,22.57,2681.44,12,21,2,Medium,Moderate,Low,2
PAT-2001-110,2020,iot,1,KOR,software,False,1,No,32.59,4672.02,26,29,1,High,Moderate,Low,2
PAT-2001-111,2020,blockchain,3,RUS,fintech,False,1,Yes,35.61,5118.06,12,30,1,Medium,Moderate,Low,3
PAT-2001-112,2023,blockchain,3,RUS,software,False,1,Yes,178.81,4442.7,5,24,3,High,Moderate,Medium,4
PAT-2001-113,2020,ai_ml,1,DEU,software,True,1,No,68.77,5547.11,17,34,2,Low,Significant,Very High,1
PAT-2001-114,2021,ai_ml,1,KOR,software,False,0,Yes,500.0,5116.79,23,18,2,Medium,Significant,Medium,4
PAT-2001-115,2021,ai_ml,2,CHN,software,False,0,Yes,79.31,3302.0,40,13,2,High,Moderate,Medium,2
PAT-2001-116,2021,quantum,1,KOR,software,False,1,Yes,89.88,8444.89,30,34,3,Low,Breakthrough,Medium,6
PAT-2001-117,2021,ai_ml,2,CHN,software,False,1,Yes,196.36,8486.32,27,37,3,Medium,Marginal,Very Low,4
PAT-2001-118,2023,ai_ml,1,CHN,software,False,1,Yes,202.62,8444.74,26,39,3,Low,Significant,Medium,3
PAT-2001-119,2020,iot,3,RUS,hardware,False,1,Yes,231.22,7970.98,17,27,2,Low,Significant,High,3
PAT-2001-120,2023,ai_ml,1,DEU,software,False,1,No,8.8,1997.79,50,25,3,Low,Significant,High,3
PAT-2001-121,2024,ai_ml,3,USA,software,False,0,Yes,100.87,9003.31,29,18,3,Medium,Moderate,High,2
PAT-2001-122,2022,iot,1,KOR,hardware,True,1,No,7.09,7935.89,19,25,3,Medium,Significant,High,4
PAT-2001-123,2021,blockchain,3,USA,fintech,False,0,Yes,48.89,5325.21,13,4,2,High,Moderate,Medium,2
PAT-2001-124,2023,iot,4,USA,hardware,False,0,No,13.13,2695.26,25,12,3,Low,Marginal,Low,3
PAT-2001-125,2020,cybersecurity,3,RUS,software,True,0,No,5.93,5860.51,16,12,1,Low,Moderate,Medium,1
PAT-2001-126,2022,ai_ml,1,KOR,healthtech,True,1,Yes,105.57,7953.9,47,52,3,Medium,Significant,Medium,5
PAT-2001-127,2024,cybersecurity,4,DEU,software,False,0,No,13.02,8428.62,23,13,1,Medium,Breakthrough,Medium,2
PAT-2001-128,2024,cybersecurity,2,USA,telecom,False,1,Yes,500.0,4050.28,22,25,1,High,Moderate,Medium,6
PAT-2001-129,2023,quantum,2,DEU,hardware,False,0,No,21.96,7974.85,18,15,2,Medium,Moderate,Medium,1
PAT-2001-130,2021,iot,2,CHN,telecom,False,1,Yes,500.0,2790.85,23,21,2,Medium,Marginal,Very Low,3
PAT-2001-131,2023,iot,2,JPN,telecom,True,1,No,30.1,9795.6,23,24,3,High,Marginal,Very Low,4
PAT-2001-132,2023,iot,1,DEU,telecom,True,1,Yes,500.0,3401.67,12,19,2,High,Significant,Very High,2
PAT-2001-133,2022,iot,4,RUS,telecom,False,1,No,7.78,7291.71,27,29,1,Medium,Significant,High,2
PAT-2001-134,2023,ai_ml,2,CHN,software,True,0,Yes,25.78,6951.52,34,12,3,Low,Moderate,High,2
PAT-2001-135,2020,cybersecurity,4,GBR,software,False,0,Yes,500.0,7201.95,10,5,1,Medium,Marginal,Very Low,5
PAT-2001-136,2021,iot,3,USA,telecom,True,0,Yes,135.81,7297.75,8,10,2,Low,Moderate,Medium,3
PAT-2001-137,2022,quantum,2,JPN,hardware,True,1,Yes,408.81,2413.95,15,37,3,High,Moderate,Low,3
PAT-2001-138,2021,blockchain,3,USA,fintech,False,1,No,45.15,5366.98,17,26,3,Low,Marginal,Low,1
PAT-2001-139,2021,ai_ml,2,USA,software,False,1,Yes,500.0,9551.61,48,51,2,Medium,Moderate,Medium,1
PAT-2001-140,2023,iot,4,IND,hardware,True,1,Yes,500.0,7518.31,20,24,2,Medium,Moderate,Low,0
PAT-2001-141,2024,iot,2,USA,telecom,False,1,Yes,169.12,5646.51,24,25,1,High,Significant,Medium,3
PAT-2001-142,2022,blockchain,3,USA,fintech,False,0,Yes,126.48,2759.17,14,9,2,Medium,Moderate,Medium,3
PAT-2001-143,2023,ai_ml,2,JPN,software,True,0,Yes,196.74,856.35,21,12,2,Medium,Moderate,Medium,1
PAT-2001-144,2024,ai_ml,1,CHN,software,False,1,No,17.47,2999.72,29,24,3,Medium,Breakthrough,Medium,4
PAT-2001-145,2020,iot,2,USA,hardware,True,1,Yes,26.09,8697.69,15,25,3,High,Significant,High,5
PAT-2001-146,2022,blockchain,3,USA,software,False,0,No,52.28,6467.51,10,10,2,Medium,Significant,Medium,3
PAT-2001-147,2022,cybersecurity,1,DEU,software,False,0,No,13.29,4638.47,24,11,2,High,Significant,Low,3
PAT-2001-148,2020,ai_ml,2,JPN,software,True,1,Yes,500.0,2849.85,26,34,3,Medium,Moderate,High,2
PAT-2001-149,2023,ai_ml,2,USA,software,True,1,Yes,500.0,9172.18,27,28,3,High,Moderate,Low,4
PAT-2001-150,2022,ai_ml,1,CHN,software,False,1,No,89.24,7398.29,15,36,2,Medium,Breakthrough,Very High,2
PAT-2001-151,2022,iot,4,RUS,telecom,False,0,No,31.48,8648.76,12,9,2,Medium,Breakthrough,Low,1
PAT-2001-152,2021,blockchain,3,USA,fintech,False,1,Yes,74.24,6651.29,14,38,1,Medium,Moderate,Medium,5
PAT-2001-153,2021,iot,4,DEU,hardware,False,0,Yes,305.9,2671.07,27,4,1,Medium,Marginal,Very Low,0
PAT-2001-154,2024,cybersecurity,3,IND,software,False,0,Yes,12.47,2683.07,28,14,1,Low,Moderate,Medium,2
PAT-2001-155,2020,ai_ml,2,USA,software,True,1,Yes,396.32,6296.32,48,31,2,Medium,Moderate,Low,0
PAT-2001-156,2021,iot,3,USA,software,False,0,No,62.38,8844.35,20,4,2,Low,Significant,Medium,2
PAT-2001-157,2021,ai_ml,2,KOR,healthtech,False,1,Yes,107.2,4640.02,26,25,2,High,Moderate,Low,1
PAT-2001-158,2022,ai_ml,3,USA,software,False,1,No,29.33,854.24,36,42,2,Medium,Significant,Very High,3
PAT-2001-159,2022,blockchain,3,CHN,fintech,True,1,Yes,107.97,6768.99,6,18,3,High,Marginal,Low,3
PAT-2001-160,2022,ai_ml,2,JPN,software,False,1,Yes,183.09,4906.64,42,45,2,High,Moderate,Low,3
PAT-2001-161,2020,iot,4,RUS,hardware,False,1,No,29.75,8594.99,13,27,2,Low,Significant,High,3
PAT-2001-162,2021,iot,3,IND,hardware,False,0,No,17.03,5678.55,14,10,2,High,Moderate,Medium,4
PAT-2001-163,2023,iot,1,USA,software,True,1,No,23.67,8131.54,18,24,3,Low,Moderate,Low,2
PAT-2001-164,2023,iot,4,RUS,hardware,False,1,No,24.48,5024.45,13,28,1,Low,Moderate,Low,1
PAT-2001-165,2023,iot,3,RUS,telecom,True,1,Yes,19.48,9182.7,15,17,2,Medium,Moderate,Medium,4
PAT-2001-166,2023,blockchain,2,USA,telecom,False,1,Yes,253.8,4115.88,17,30,1,Medium,Marginal,Low,0
PAT-2001-167,2023,ai_ml,3,USA,fintech,False,0,Yes,331.34,8673.94,33,10,3,Medium,Moderate,Medium,3
PAT-2001-168,2020,ai_ml,1,USA,healthtech,False,1,Yes,500.0,777.29,41,34,3,Medium,Significant,Medium,2
PAT-2001-169,2022,iot,3,IND,healthtech,True,1,Yes,116.07,3001.79,27,28,1,High,Significant,High,4
PAT-2001-170,2022,cybersecurity,4,USA,software,True,1,No,10.07,7422.18,18,24,1,Medium,Marginal,Very Low,3
PAT-2001-171,2021,ai_ml,2,CHN,hardware,False,1,Yes,109.33,7229.83,45,36,3,Medium,Marginal,Low,2
PAT-2001-172,2023,iot,3,USA,hardware,True,0,No,4.81,1480.62,20,10,1,Low,Marginal,Low,1
PAT-2001-173,2022,quantum,3,CHN,hardware,True,0,Yes,43.58,4146.18,47,12,3,Low,Significant,Low,3
PAT-2001-174,2023,quantum,1,GBR,hardware,False,1,No,52.47,7114.15,27,34,2,Low,Breakthrough,Very High,2
PAT-2001-175,2024,iot,1,JPN,software,True,1,Yes,233.12,9951.15,12,27,2,Low,Significant,Medium,3
PAT-2001-176,2022,iot,4,IND,hardware,True,1,No,37.13,1828.14,24,19,1,Medium,Moderate,High,2
PAT-2001-177,2024,iot,4,USA,hardware,False,1,No,32.09,9665.04,12,25,2,Low,Moderate,Medium,2
PAT-2001-178,2022,cybersecurity,4,IND,telecom,False,0,Yes,339.88,9206.25,24,13,2,Low,Significant,High,4
PAT-2001-179,2024,ai_ml,1,KOR,healthtech,False,0,No,6.86,6965.28,49,16,3,Medium,Significant,Medium,2
PAT-2001-180,2021,cybersecurity,3,CHN,software,False,1,No,6.9,4490.73,17,22,1,Medium,Moderate,High,1
PAT-2001-181,2022,ai_ml,2,CHN,healthtech,False,1,No,25.76,9797.88,21,45,2,Medium,Moderate,High,3
PAT-2001-182,2022,quantum,3,GBR,hardware,True,1,No,28.24,8144.49,40,52,3,Low,Moderate,Low,2
PAT-2001-183,2020,ai_ml,1,KOR,hardware,False,1,Yes,11.47,3028.8,50,46,3,Medium,Significant,Very High,4
PAT-2001-184,2022,ai_ml,3,USA,software,False,0,Yes,349.33,7932.49,26,16,2,Medium,Breakthrough,Medium,3
PAT-2001-185,2024,ai_ml,2,JPN,software,True,1,Yes,81.89,7500.36,17,28,3,Medium,Significant,High,5
PAT-2001-186,2023,blockchain,3,USA,fintech,False,0,Yes,36.84,5892.2,17,11,3,Low,Marginal,Very Low,3
PAT-2001-187,2021,ai_ml,1,USA,software,True,1,No,11.88,2473.4,26,34,3,Medium,Significant,High,3
PAT-2001-188,2021,ai_ml,3,DEU,fintech,False,1,Yes,48.34,1042.14,48,34,3,Low,Significant,High,3
PAT-2001-189,2021,blockchain,3,IND,fintech,False,1,Yes,10.91,9984.4,10,21,2,Medium,Marginal,Low,2
PAT-2001-190,2020,blockchain,3,USA,software,False,1,Yes,500.0,8642.03,5,21,3,Medium,Marginal,Very Low,2
PAT-2001-191,2024,quantum,3,RUS,hardware,True,0,Yes,278.83,1068.83,47,10,3,Medium,Significant,Medium,4
PAT-2001-192,2022,cybersecurity,3,USA,software,False,1,Yes,284.72,3312.88,26,31,2,High,Marginal,Low,3
PAT-2001-193,2021,iot,3,IND,telecom,True,1,Yes,367.24,862.83,15,22,2,Low,Marginal,Low,1
PAT-2001-194,2022,ai_ml,1,KOR,hardware,False,1,No,41.09,4839.94,41,42,2,High,Significant,High,2
PAT-2001-195,2020,ai_ml,2,KOR,software,False,1,Yes,90.21,9962.08,29,36,3,Low,Marginal,Very Low,3
PAT-2001-196,2021,cybersecurity,3,RUS,telecom,True,0,Yes,500.0,2547.45,18,11,2,Medium,Moderate,Medium,4
PAT-2001-197,2023,ai_ml,3,IND,fintech,False,1,Yes,500.0,3585.94,47,31,3,Medium,Significant,High,8
PAT-2001-198,2023,blockchain,3,USA,fintech,False,0,Yes,500.0,6537.53,12,12,2,Medium,Marginal,Very Low,2
PAT-2001-199,2024,cybersecurity,3,GBR,software,False,0,Yes,127.1,7215.46,16,10,1,Low,Moderate,Medium,1
PAT-2001-200,2023,cybersecurity,4,IND,software,False,1,Yes,306.37,4972.7,23,27,2,Low,Moderate,Medium,0
PAT-2001-201,2022,blockchain,3,GBR,software,False,1,No,94.85,4026.92,7,19,1,Low,Moderate,Medium,3
PAT-2001-202,2023,iot,3,IND,telecom,False,0,No,1.22,8815.41,12,15,2,Low,Moderate,Medium,0
PAT-2001-203,2024,blockchain,3,RUS,fintech,False,0,Yes,184.16,5955.8,6,12,3,Medium,Marginal,Low,2
PAT-2001-204,2023,quantum,2,CHN,hardware,False,0,Yes,31.75,3792.53,27,13,2,High,Moderate,Medium,1
PAT-2001-205,2024,ai_ml,2,JPN,software,False,0,Yes,500.0,2488.88,17,19,3,Low,Significant,Low,3
PAT-2001-206,2023,ai_ml,2,USA,software,False,1,Yes,30.18,1719.29,31,43,2,Low,Breakthrough,Medium,3
PAT-2001-207,2024,iot,2,CHN,telecom,True,1,No,5.09,6322.58,12,19,2,Medium,Moderate,Medium,3
PAT-2001-208,2020,ai_ml,3,DEU,software,True,0,No,41.54,5909.93,41,16,3,Medium,Moderate,Low,2
PAT-2001-209,2023,iot,2,USA,telecom,True,1,Yes,443.88,1761.34,10,21,2,High,Breakthrough,Very High,6
PAT-2001-210,2022,blockchain,2,CHN,software,True,1,Yes,500.0,7815.76,18,27,1,High,Moderate,Low,2
PAT-2001-211,2022,cybersecurity,3,USA,software,True,1,Yes,436.5,2329.9,23,21,1,Medium,Significant,Medium,2
PAT-2001-212,2023,quantum,2,CHN,hardware,False,1,No,32.71,7278.88,35,43,3,Medium,Breakthrough,High,5
PAT-2001-213,2024,blockchain,4,RUS,fintech,False,0,Yes,8.74,6295.3,16,7,1,Low,Moderate,High,1
PAT-2001-214,2024,quantum,1,CHN,hardware,True,0,No,5.84,9636.42,35,13,3,High,Significant,Medium,4
PAT-2001-215,2021,ai_ml,1,DEU,software,True,1,No,9.76,2754.67,24,45,2,Medium,Breakthrough,Very High,2
PAT-2001-216,2023,blockchain,4,GBR,fintech,False,0,Yes,70.75,6357.89,15,10,1,Low,Moderate,Medium,1
PAT-2001-217,2023,ai_ml,1,GBR,hardware,True,1,Yes,133.72,6578.01,34,45,3,High,Significant,High,5
PAT-2001-218,2021,cybersecurity,4,USA,software,False,1,No,22.73,1649.31,20,28,2,Medium,Moderate,Medium,1
PAT-2001-219,2020,quantum,1,JPN,hardware,True,1,Yes,89.75,3124.57,48,48,3,Medium,Moderate,High,3
PAT-2001-220,2020,cybersecurity,3,GBR,software,False,0,Yes,500.0,4430.72,20,15,2,High,Moderate,Low,1
PAT-2001-221,2023,cybersecurity,3,USA,software,False,0,No,67.39,7820.09,16,4,1,Medium,Significant,Medium,3
PAT-2001-222,2022,cybersecurity,3,GBR,software,False,1,Yes,209.3,4036.37,22,25,2,Medium,Moderate,High,1
PAT-2001-223,2024,ai_ml,3,DEU,software,True,0,Yes,53.42,5365.62,23,10,3,Medium,Moderate,Low,1
PAT-2001-224,2022,cybersecurity,1,DEU,software,True,1,No,7.4,1422.93,23,22,2,Medium,Significant,Very High,2
PAT-2001-225,2024,iot,1,USA,hardware,True,1,No,54.47,1262.24,27,28,2,Medium,Significant,Medium,1
PAT-2001-226,2022,blockchain,3,GBR,fintech,True,0,Yes,408.48,1781.79,10,12,1,Medium,Significant,Low,5
PAT-2001-227,2023,iot,3,USA,hardware,True,0,Yes,18.4,7162.35,12,10,1,High,Moderate,High,1
PAT-2001-228,2020,ai_ml,1,GBR,hardware,False,1,No,17.04,6376.62,29,30,2,Medium,Significant,Very High,2
PAT-2001-229,2022,ai_ml,2,USA,software,True,1,No,18.51,1678.83,26,25,3,Medium,Significant,High,4
PAT-2001-230,2023,ai_ml,1,JPN,software,True,1,Yes,140.37,7158.61,18,40,3,Medium,Moderate,Medium,2
PAT-2001-231,2024,ai_ml,3,GBR,software,False,1,Yes,181.79,9281.35,49,37,2,Low,Significant,Medium,2
PAT-2001-232,2023,blockchain,4,USA,software,False,1,Yes,76.37,9797.15,5,19,1,Low,Marginal,Low,4
PAT-2001-233,2020,cybersecurity,1,JPN,software,True,1,Yes,134.93,8149.28,18,18,2,Medium,Moderate,High,1
PAT-2001-234,2022,iot,1,JPN,hardware,False,1,No,23.26,3054.19,22,29,1,Low,Moderate,High,2
PAT-2001-235,2020,iot,1,GBR,hardware,True,1,Yes,26.93,8575.57,11,24,2,High,Significant,High,3
PAT-2001-236,2020,blockchain,4,IND,fintech,False,0,No,20.38,4224.97,19,16,2,High,Marginal,Low,5
PAT-2001-237,2023,blockchain,2,USA,telecom,True,1,No,85.89,9072.13,10,19,1,High,Marginal,Very Low,2
PAT-2001-238,2023,ai_ml,1,CHN,software,False,0,Yes,122.14,8649.83,34,7,3,Medium,Moderate,Low,5
PAT-2001-239,2023,quantum,1,DEU,software,False,0,No,16.27,4199.53,36,9,3,High,Significant,Low,4
PAT-2001-240,2024,ai_ml,2,KOR,software,False,0,Yes,23.61,9549.09,30,13,3,Medium,Moderate,Low,2
PAT-2001-241,2023,iot,2,USA,telecom,False,1,Yes,44.73,800.66,21,24,1,Low,Moderate,Medium,2
PAT-2001-242,2023,quantum,1,DEU,hardware,False,1,Yes,399.59,3246.42,41,25,3,Medium,Significant,Very High,2
PAT-2001-243,2020,iot,4,DEU,software,False,0,No,36.69,7256.01,11,7,2,Low,Marginal,Very Low,2
PAT-2001-244,2021,cybersecurity,1,KOR,software,False,1,No,42.91,3538.64,21,25,2,Medium,Moderate,Low,2
PAT-2001-245,2023,ai_ml,1,USA,software,True,1,No,26.37,6378.76,39,30,2,Medium,Significant,Very High,2
PAT-2001-246,2024,cybersecurity,3,USA,software,False,0,No,16.19,2787.04,22,21,1,High,Moderate,Medium,2
PAT-2001-247,2020,iot,3,RUS,telecom,True,0,Yes,95.62,901.77,14,12,2,Medium,Significant,Low,1
PAT-2001-248,2022,quantum,2,USA,software,True,1,Yes,500.0,842.48,50,33,2,Low,Breakthrough,Medium,3
PAT-2001-249,2023,iot,1,USA,hardware,True,1,Yes,113.21,9957.83,10,28,2,Medium,Marginal,Low,2
PAT-2001-250,2020,quantum,2,CHN,software,False,1,Yes,500.0,4642.62,47,37,2,Low,Significant,High,3
PAT-2001-251,2022,cybersecurity,2,CHN,software,False,1,Yes,268.4,1620.06,28,23,3,Medium,Significant,Very High,4
PAT-2001-252,2024,blockchain,2,CHN,fintech,False,0,Yes,44.73,3688.33,19,12,1,Medium,Moderate,Medium,1
PAT-2001-253,2023,quantum,2,USA,software,False,1,No,15.9,7361.8,26,31,3,High,Moderate,High,6
PAT-2001-254,2021,iot,2,USA,hardware,True,1,Yes,263.26,7095.37,9,39,1,High,Significant,High,3
PAT-2001-255,2024,blockchain,3,USA,fintech,False,1,Yes,500.0,6846.98,14,26,2,Medium,Moderate,Low,2
PAT-2001-256,2021,cybersecurity,2,JPN,software,True,1,Yes,49.22,9101.04,26,27,2,Medium,Moderate,High,0
PAT-2001-257,2024,blockchain,3,DEU,fintech,False,1,No,8.2,7245.65,12,27,2,Medium,Moderate,Low,1
PAT-2001-258,2021,iot,1,CHN,healthtech,False,0,Yes,48.36,6598.17,24,8,1,Low,Significant,High,1
PAT-2001-259,2022,ai_ml,3,USA,healthtech,True,1,Yes,33.83,5589.46,29,45,3,Medium,Moderate,Medium,4
PAT-2001-260,2022,ai_ml,1,USA,healthtech,True,1,No,6.81,5516.41,46,42,3,Low,Moderate,High,3
PAT-2001-261,2021,quantum,2,CHN,software,False,1,Yes,14.61,889.53,25,46,3,Low,Breakthrough,Very High,4
PAT-2001-262,2024,blockchain,3,GBR,fintech,True,1,Yes,142.26,7985.97,9,23,2,Low,Significant,High,4
PAT-2001-263,2021,blockchain,2,CHN,telecom,True,1,No,78.39,705.22,12,19,3,Medium,Marginal,Very Low,3
PAT-2001-264,2020,ai_ml,2,USA,healthtech,True,0,Yes,500.0,8863.53,15,15,3,Low,Marginal,Low,5
PAT-2001-265,2021,blockchain,4,GBR,fintech,False,1,Yes,500.0,3797.7,18,32,1,Medium,Moderate,Low,1
PAT-2001-266,2023,quantum,1,DEU,software,False,1,No,50.27,7629.22,18,28,2,Low,Breakthrough,High,2
PAT-2001-267,2023,cybersecurity,4,DEU,software,False,0,No,15.6,1883.35,8,8,2,Medium,Significant,Medium,1
PAT-2001-268,2024,ai_ml,1,DEU,software,True,1,No,10.24,3939.9,21,28,2,Medium,Significant,Medium,1
PAT-2001-269,2021,iot,1,CHN,telecom,True,1,Yes,193.69,3281.73,29,25,1,Medium,Marginal,Very Low,1
PAT-2001-270,2022,blockchain,4,DEU,software,False,0,No,87.87,9039.81,6,12,2,Low,Significant,Medium,1
PAT-2001-271,2020,iot,3,DEU,hardware,False,1,No,53.67,536.22,9,24,1,Low,Significant,Medium,3
PAT-2001-272,2022,blockchain,3,USA,fintech,True,1,Yes,25.17,4771.27,11,24,1,Low,Moderate,Medium,3
PAT-2001-273,2024,blockchain,2,KOR,software,False,0,Yes,500.0,1952.5,5,12,1,Medium,Moderate,Low,3
PAT-2001-274,2023,blockchain,4,GBR,software,False,1,No,36.7,7309.77,6,28,1,Low,Marginal,Low,0
PAT-2001-275,2022,iot,1,JPN,software,True,1,No,15.81,9710.87,24,32,1,Low,Significant,Medium,3
PAT-2001-276,2022,iot,4,USA,hardware,False,0,No,24.9,5122.18,27,7,3,Low,Moderate,Medium,1
PAT-2001-277,2024,blockchain,4,USA,fintech,False,0,Yes,36.35,1620.62,8,19,2,Low,Marginal,Very Low,4
PAT-2001-278,2022,quantum,2,USA,hardware,True,1,Yes,323.95,6986.48,40,57,3,Medium,Moderate,Medium,5
PAT-2001-279,2020,iot,4,DEU,healthtech,False,0,Yes,95.82,9124.31,20,10,3,High,Moderate,Low,3
PAT-2001-280,2022,ai_ml,1,USA,software,True,1,No,55.81,4051.46,36,30,3,Low,Moderate,Medium,2
PAT-2001-281,2020,quantum,2,USA,software,True,0,No,81.83,9628.92,23,10,3,Low,Moderate,Low,5
PAT-2001-282,2021,cybersecurity,4,RUS,software,True,1,No,81.41,886.99,9,31,2,Medium,Moderate,Medium,0
PAT-2001-283,2020,ai_ml,1,USA,software,True,1,No,86.59,7616.46,26,39,3,Medium,Significant,Very High,5
PAT-2001-284,2022,iot,3,IND,telecom,False,0,Yes,482.28,3069.05,23,8,2,Medium,Marginal,Low,1
PAT-2001-285,2023,ai_ml,3,USA,software,True,1,No,11.96,6528.63,44,34,3,High,Moderate,Medium,3
PAT-2001-286,2021,iot,1,USA,telecom,True,1,No,3.5,8684.85,19,24,1,Medium,Moderate,High,2
PAT-2001-287,2022,ai_ml,3,RUS,healthtech,True,0,Yes,500.0,3617.18,48,19,3,Medium,Significant,High,4
PAT-2001-288,2024,iot,2,USA,hardware,False,1,No,32.92,5259.61,22,25,3,Medium,Moderate,High,5
PAT-2001-289,2023,ai_ml,1,JPN,software,True,1,Yes,216.19,6962.62,29,30,3,Medium,Significant,High,3
PAT-2001-290,2022,iot,2,USA,hardware,False,1,Yes,379.94,6894.19,12,29,1,Low,Moderate,Medium,0
PAT-2001-291,2021,cybersecurity,4,USA,software,False,1,Yes,143.13,8875.7,17,19,2,Low,Marginal,Very Low,1
PAT-2001-292,2024,blockchain,2,KOR,fintech,True,1,No,6.86,6984.43,13,25,1,High,Marginal,Very Low,1
PAT-2001-293,2021,cybersecurity,3,USA,software,False,0,Yes,98.08,5520.77,22,15,2,Medium,Marginal,Low,0
PAT-2001-294,2021,cybersecurity,4,USA,software,False,0,No,13.91,3342.16,15,10,1,Medium,Moderate,Medium,2
PAT-2001-295,2024,cybersecurity,3,USA,software,True,0,No,7.75,9704.21,19,12,2,High,Moderate,Low,4
PAT-2001-296,2022,ai_ml,3,IND,software,False,0,Yes,348.62,750.19,26,18,3,Medium,Moderate,Medium,4
PAT-2001-297,2023,quantum,1,GBR,hardware,True,1,No,9.07,8342.62,39,33,3,Medium,Significant,Medium,5
PAT-2001-298,2022,ai_ml,1,DEU,healthtech,True,1,Yes,101.66,8850.33,29,37,3,Medium,Moderate,Low,3
PAT-2001-299,2023,blockchain,4,RUS,fintech,False,1,Yes,54.92,1593.84,13,22,1,Low,Marginal,Low,2
PAT-2001-300,2021,cybersecurity,3,GBR,software,True,0,No,5.19,4819.23,12,8,1,Low,Moderate,Medium,0
PAT-2001-301,2021,iot,3,USA,software,True,1,Yes,500.0,1463.93,25,23,1,High,Significant,Medium,5
PAT-2001-302,2021,iot,4,RUS,healthtech,False,0,Yes,38.93,1097.18,8,14,2,High,Moderate,Medium,1
PAT-2001-303,2021,blockchain,4,USA,fintech,False,1,Yes,500.0,571.45,16,28,1,Low,Significant,Very High,4
PAT-2001-304,2024,quantum,2,USA,hardware,True,1,Yes,500.0,7981.73,48,36,2,Low,Moderate,High,0
PAT-2001-305,2021,iot,2,DEU,hardware,False,1,Yes,208.68,1225.14,19,19,3,Low,Marginal,Very Low,2
PAT-2001-306,2022,blockchain,3,USA,fintech,True,1,Yes,121.65,520.32,16,29,2,Medium,Moderate,Medium,2
PAT-2001-307,2023,cybersecurity,4,USA,software,True,1,Yes,41.3,1559.65,27,28,1,Low,Moderate,Medium,2
PAT-2001-308,2023,ai_ml,1,DEU,software,False,1,No,9.22,6517.89,30,39,3,High,Moderate,High,5
PAT-2001-309,2022,ai_ml,1,CHN,software,False,0,Yes,209.34,8314.83,45,15,2,Medium,Moderate,Low,0
PAT-2001-310,2022,iot,1,CHN,hardware,False,1,No,52.1,3346.97,21,27,1,Low,Moderate,Medium,1
PAT-2001-311,2024,cybersecurity,2,CHN,telecom,False,1,Yes,6.58,7280.67,12,19,2,High,Significant,Medium,2
PAT-2001-312,2023,ai_ml,1,CHN,software,False,0,No,16.34,807.17,15,16,2,High,Significant,Medium,7
PAT-2001-313,2023,ai_ml,3,USA,software,False,0,No,8.06,8946.59,20,16,3,Low,Marginal,Very Low,2
PAT-2001-314,2024,ai_ml,2,USA,software,False,1,Yes,95.2,7910.04,49,40,3,High,Marginal,Very Low,4
PAT-2001-315,2023,cybersecurity,1,DEU,software,False,1,Yes,21.81,8089.81,17,23,2,Medium,Moderate,Medium,0
PAT-2001-316,2021,ai_ml,2,JPN,software,True,1,No,38.46,1535.53,36,49,3,Low,Marginal,Very Low,2
PAT-2001-317,2022,iot,4,IND,software,True,0,Yes,59.58,4139.67,13,8,2,Low,Moderate,High,2
PAT-2001-318,2020,cybersecurity,3,USA,software,False,0,Yes,426.59,6266.35,10,6,1,Low,Marginal,Low,2
PAT-2001-319,2023,ai_ml,2,USA,software,False,1,No,166.69,3791.37,34,34,3,High,Significant,Medium,4
PAT-2001-320,2024,iot,1,USA,healthtech,False,1,No,38.83,3174.15,19,34,3,Low,Moderate,High,3
PAT-2001-321,2022,iot,3,GBR,hardware,True,0,Yes,193.9,3199.04,12,12,2,Medium,Significant,Medium,2
PAT-2001-322,2022,quantum,2,KOR,software,False,1,Yes,313.59,6749.9,19,25,3,Medium,Moderate,Low,4
PAT-2001-323,2020,blockchain,3,IND,fintech,False,0,Yes,53.02,8904.79,12,10,2,High,Significant,Low,3
