trademark_id,country_registration,mktu_class,industry,applicant_type,trademark_type,representative_firm,priority_claimed,examination_duration_days,mktu_classes_count,company_age_years,previous_applications,trademark_value_k,examination_count,similarity_percent,maintenance_fee_usd,use_before_registration_months,opposition_count
TM20200925,Россия,Класс 03,Мебель,Ассоциация,3D,ЮрФирма_AE,True,75.0,2,,5,22.86,1,55.9,1101.24,76.5,2
TM20200926,Россия,Класс 33,Здравоохранение,Некоммерческая организация,Изобразительный,Самостоятельно,False,43.0,3,23.7,1,2.69,2,31.0,809.13,101.7,0
TM20200927,Нидерланды,Класс 33,СМИ,Холдинг,Комбинированный,ЮрФирма_AM,True,88.0,2,5.5,7,433.72,3,19.0,6156.461060093064,91.3,3
TM20200928,Беларусь,Класс 37,Полиграфия,АО,Изобразительный,ЮрФирма_AK,True,81.0,3,2.9,19,1.23,3,14.9,924.36,13.1,0
TM20200929,Япония,Класс 01,Страхование,Индивидуальный предприниматель,Словесный,Самостоятельно,False,69.0,2,16.1,10,5.53,2,32.3,943.4,,0
TM20200930,Россия,Класс 45,Программное обеспечение,Иностранная компания,Обонятельный,ЮрФирма_AK,True,87.0,4,2.4,5,116.52,4,14.2,804.08,75.4,1
TM20200931,Казахстан,Класс 04,Автомобильная,ЗАО,Тактильный,ЮрФирма_AM,True,86.0,4,10.9,8,2.19,3,47.0,485.8,,0
TM20200932,Казахстан,Класс 05,Сельское хозяйство,Индивидуальный предприниматель,Позиционный,ЮрФирма_BR,False,50.0,5,1.7,3,5.89,2,24.8,819.58,58.8,0
TM20200933,Великобритания,Класс 04,Недвижимость,Культурное учреждение,Форма упаковки,ЮрФирма_BT,False,46.0,3,7.5,1,18.91,3,42.6,913.55,97.3,0
TM20200934,Италия,Класс 05,Розничная торговля,ООО,Изобразительный,Не указано,False,66.0,4,0.6,2,9.8,1,39.3,916.54,109.9,0
TM20200935,Россия,Класс 15,Косметика,Индивидуальный предприниматель,Объемный,ЮрФирма_BB,True,88.0,3,2.5,8,2.45,2,29.9,695.31,84.7,1
TM20200936,Туркменистан,Класс 04,Автомобильная,Крестьянское хозяйство,Словесный,ЮрФирма_BO,True,49.0,5,7.0,4,6.81,3,28.3,729.84,111.7,0
TM20200937,Россия,Класс 07,Гостиничный бизнес,ПАО,Надпись,Самостоятельно,True,47.0,2,1.4,2,18.53,2,81.0,1208.85,15.7,0
TM20200938,Чехия,Класс 22,Розничная торговля,Концерн,Комбинированный,Не указано,True,48.0,3,0.5,2,4.67,4,5.9,12476.584976300313,117.2,0
TM20200939,Россия,Класс 34,СМИ,Индивидуальный предприниматель,Словесный,ЮрФирма_BI,True,59.0,3,25.1,3,6.49,1,,1246.79,8.4,0
TM20200940,Россия,Класс 24,Развлечения,АО,Позиционный,Самостоятельно,True,30.0,6,4.0,8,12.79,3,51.3,648.36,62.2,2
TM20200941,Австралия,Класс 18,Реклама,Иностранная компания,Комбинированный,Самостоятельно,True,52.0,4,1.8,9,130.55,2,18.4,1133.84,99.1,4
TM20200942,Россия,Класс 02,Транспорт,ООО,Форма упаковки,ЮрФирма_BE,True,77.0,4,0.0,0,14.93,2,62.6,1024.04,93.9,1
TM20200943,Казахстан,Класс 33,Транспорт,Холдинг,Световой,ЮрФирма_AL,True,88.0,4,3.6,6,42.21,4,11.8,140.24,104.3,0
TM20200944,Казахстан,Класс 01,Реклама,ООО,Речевой,Самостоятельно,True,122.0,1,2.0,4,2.35,3,35.7,1594.58,,0
TM20200945,Россия,Класс 04,Консалтинг,ООО,Комбинированный,ЮрФирма_BA,True,65.0,3,5.0,4,10.99,2,13.3,1481.01,65.3,0
TM20200946,США,Класс 01,Консалтинг,Индивидуальный предприниматель,Комбинированный,ЮрФирма_BF,False,56.0,3,8.1,2,2.65,3,7.6,529.18,103.3,1
TM20200947,Нидерланды,Класс 23,Энергетика,ООО,Световой,Самостоятельно,True,114.0,4,5.4,2,7.95,4,22.4,1189.8,108.1,0
TM20200948,Швеция,Класс 07,Транспорт,ООО,Словесный,ЮрФирма_AQ,False,30.0,5,1.2,1,4.52,3,10.6,806.24,78.2,0
TM20200949,Россия,Класс 22,Бытовая техника,Корпорация,Словесный,ЮрФирма_AY,True,68.0,5,43.7,4,49.72,1,47.7,561.37,97.7,1
TM20200950,Беларусь,Класс 06,Розничная торговля,ПАО,Аббревиатура,ЮрФирма_BS,False,68.0,3,2.2,4,23.93,2,48.8,661.57,99.3,0
TM20200951,Россия,Класс 09,Реклама,Индивидуальный предприниматель,Эмблема,Не указано,False,97.0,5,7.1,5,11.07,3,23.5,999.76,6.1,0
TM20200952,Россия,Класс 09,Страхование,ПАО,Шрифт,Самостоятельно,False,40.0,3,8.1,1,21.16,3,16.2,18193.276183243142,,4
TM20200953,Россия,Класс 01,Машиностроение,ООО,Словесный,ЮрФирма_BF,False,69.0,4,0.5,9,4.86,5,53.7,1171.83,52.5,2
TM20200954,Туркменистан,Класс 08,СМИ,АО,Словесный,ЮрФирма_BE,True,44.0,3,2.1,8,11.35,1,17.1,1133.91,8.6,0
TM20200955,Польша,Класс 21,Консалтинг,Фермерское хозяйство,Мультимедийный,Не указано,True,36.0,8,1.7,2,3.73,3,33.9,1139.31,23.0,0
TM20200956,Италия,Класс 14,Реклама,Концерн,Словесный,Самостоятельно,False,50.0,6,3.5,2,7.39,3,11.1,1349.27,,0
TM20200957,Беларусь,Класс 01,Здравоохранение,Иностранная компания,Изобразительный,Самостоятельно,True,106.0,4,1.1,4,99.64,1,21.4,1029.54,31.1,0
TM20200958,Казахстан,Класс 23,Строительство,ООО,Изобразительный,ЮрФирма_AF,False,40.0,5,15.4,1,1.86,1,8.1,882.08,106.8,0
TM20200959,Беларусь,Класс 05,Научные исследования,Индивидуальный предприниматель,Речевой,ЮрФирма_AK,False,59.0,1,3.2,4,7.9,3,38.2,1034.55,112.9,0
TM20200960,Беларусь,Класс 01,Бытовая техника,Корпорация,Комбинированный,ЮрФирма_BD,True,85.0,4,8.3,7,98.68,1,55.1,1559.88,87.5,1
TM20200961,Казахстан,Класс 03,Мебель,ПАО,Словесный,Не указано,True,51.0,8,2.7,11,6.12,3,12.3,1019.39,98.7,0
TM20200962,Россия,Класс 11,Консалтинг,Иностранная компания,Комбинированный,Не указано,False,122.0,3,6.4,7,135.25,2,33.4,685.92,29.5,0
TM20200963,Россия,Класс 05,Спорт,Творческий коллектив,Словесный,ЮрФирма_AT,False,67.0,2,8.9,12,8.13,4,4.5,872.03,26.8,0
TM20200964,ОАЭ,Класс 25,Образование,ООО,Звуковой,Самостоятельно,False,38.0,2,3.7,8,2.85,3,25.3,833.35,15.9,0
TM20200965,Казахстан,Класс 04,Одежда и обувь,Государственное предприятие,Комбинированный,Не указано,False,50.0,2,0.5,3,11.31,3,20.5,1255.61,54.6,0
TM20200966,ОАЭ,Класс 30,Недвижимость,ПАО,Комбинированный,Не указано,True,39.0,4,3.4,7,9.31,2,38.0,742.83,71.8,0
TM20200967,Россия,Класс 05,Реклама,ООО,Изобразительный,ЮрФирма_BT,True,52.0,7,0.7,10,7.77,1,9.9,1033.52,39.1,0
TM20200968,Беларусь,Класс 19,Гостиничный бизнес,Индивидуальный предприниматель,Словесный,ЮрФирма_AZ,True,61.0,4,,3,8.49,3,3.0,1162.98,38.1,0
TM20200969,Россия,Класс 32,Оптовая торговля,Иностранная компания,Словесный,Не указано,True,86.0,4,1.3,0,124.98,4,,18243.63912742903,63.6,2
TM20200970,Россия,Класс 07,Здравоохранение,ООО,Форма упаковки,ЮрФирма_BB,False,130.0,5,8.8,1,8.74,2,37.7,903.1,97.6,0
TM20200971,Россия,Класс 01,Полиграфия,Холдинг,Изобразительный,ЮрФирма_AZ,False,62.0,5,4.4,2,109.38,3,23.3,1250.72,2.6,2
TM20200972,Россия,Класс 14,СМИ,Холдинг,Изобразительный,ЮрФирма_AU,False,81.0,5,0.4,1,262.81,1,46.5,1224.27,64.5,3
TM20200973,Азербайджан,Класс 45,Оптовая торговля,ЗАО,Изобразительный,Самостоятельно,True,64.0,4,7.6,3,15.83,2,50.1,619.67,75.5,3
TM20200974,Россия,Класс 43,Гостиничный бизнес,ПАО,Цифры,ЮрФирма_AK,True,49.0,1,8.5,4,8.9,1,27.3,987.05,79.1,1
TM20200975,Армения,Класс 04,ИТ-услуги,Иностранная компания,Обонятельный,Самостоятельно,True,54.0,6,1.1,3,186.39,1,22.1,1003.69,,2
TM20200976,Казахстан,Класс 29,Транспорт,ЗАО,Словесный,Не указано,True,103.0,3,14.5,1,7.05,3,19.1,1785.34,65.4,0
TM20200977,Казахстан,Класс 06,Бытовая техника,Кооператив,Комбинированный,Самостоятельно,True,57.0,3,0.5,14,9.3,3,,1272.41,,0
TM20200978,Беларусь,Класс 03,Образование,Индивидуальный предприниматель,Изобразительный,Не указано,True,110.0,1,3.4,3,9.76,4,41.4,1196.57,7.1,0
TM20200979,Россия,Класс 23,Туризм,Творческий коллектив,Обонятельный,Не указано,True,69.0,4,0.8,6,5.11,2,19.9,559.04,11.7,0
TM20200980,Малайзия,Класс 11,Финансовые услуги,Индивидуальный предприниматель,Иероглифы,Самостоятельно,True,70.0,4,1.1,7,5.94,3,,874.85,3.4,0
TM20200981,Бразилия,Класс 14,Программное обеспечение,ООО,Световой,Самостоятельно,False,96.0,5,5.0,2,68.57,4,52.4,394.51,23.9,1
TM20200982,Южная Корея,Класс 34,Ювелирные изделия,Холдинг,Текстильный,Не указано,False,72.0,4,0.7,2,125.91,2,4.4,406.89,8.8,3
TM20200983,Казахстан,Класс 06,Одежда и обувь,Индивидуальный предприниматель,Комбинированный,Самостоятельно,True,30.0,5,12.2,2,10.66,3,,979.92,48.1,0
TM20200984,Россия,Класс 23,Сельское хозяйство,ООО,Изобразительный,ЮрФирма_AU,False,52.0,2,16.9,5,8.7,3,22.2,713.77,53.4,1
TM20200985,Узбекистан,Класс 07,Бытовая техника,Индивидуальный предприниматель,Комбинированный,Не указано,True,70.0,2,,7,5.23,4,4.8,915.64,86.2,0
TM20200986,Россия,Класс 01,Косметика,Концерн,Световой,,True,73.0,3,2.4,5,14.37,3,41.4,1200.64,101.3,0
TM20200987,Россия,Класс 07,Научные исследования,ПАО,Словесный,Не указано,False,72.0,4,0.8,9,5.3,3,25.8,16445.386592710438,55.8,0
TM20200988,Россия,Класс 42,Программное обеспечение,Индивидуальный предприниматель,Комбинированный,ЮрФирма_BN,True,65.0,2,8.0,0,85.68,4,46.2,1096.09,,0
TM20200989,Турция,Класс 10,Полиграфия,ЗАО,Словесный,ЮрФирма_BH,False,69.0,1,3.0,4,15.93,2,,1138.47,105.0,0
TM20200990,Армения,Класс 02,Гостиничный бизнес,ООО,Словесный,Самостоятельно,True,99.0,3,13.8,4,6.45,2,17.4,1130.46,113.6,0
TM20200991,Франция,Класс 24,Сельское хозяйство,Спортивная организация,Анимационный,Самостоятельно,True,59.0,4,4.7,8,11.02,2,19.8,1208.59,65.1,0
TM20200992,Турция,Класс 43,Здравоохранение,Индивидуальный предприниматель,Словесный,ЮрФирма_BR,True,65.0,2,0.2,3,5.82,2,42.2,1133.74,48.9,0
TM20200993,Россия,Класс 39,Мебель,ПАО,Позиционный,Не указано,True,89.0,2,0.7,4,7.34,2,14.5,1040.36,94.1,0
TM20200994,Узбекистан,Класс 16,Металлургия,ЗАО,Изобразительный,Самостоятельно,True,90.0,3,3.5,6,8.6,4,33.2,768.03,68.0,0
TM20200995,Казахстан,Класс 07,Металлургия,ПАО,Объемный,ЮрФирма_AB,True,46.0,2,2.9,3,20.4,4,64.0,786.27,36.0,1
TM20200996,Армения,Класс 17,Финансовые услуги,Культурное учреждение,Логотип,Самостоятельно,True,34.0,4,1.5,0,12.02,2,32.7,224.85,31.3,0
TM20200997,Россия,Класс 33,Машиностроение,ООО,Обонятельный,ЮрФирма_AG,True,84.0,3,5.6,3,13.17,1,18.0,1452.32,86.6,4
TM20200998,Вьетнам,Класс 36,Образование,Концерн,Голографический,ЮрФирма_BW,True,76.0,7,0.6,3,13.15,3,66.4,1708.16,69.6,1
TM20200999,Россия,Класс 33,СМИ,АО,Словесный,ЮрФирма_AT,False,67.0,6,5.3,6,20.14,3,6.7,877.22,,2
TM20210000,Россия,Класс 09,Энергетика,Холдинг,Изобразительный,ЮрФирма_AY,False,87.0,1,3.0,10,308.43,3,20.4,1000.95,,4
TM20210001,Казахстан,Класс 02,Напитки,АО,Звуковой,Не указано,False,63.0,2,6.8,7,13.76,2,39.4,1257.99,18.1,0
TM20210002,Россия,Класс 16,Полиграфия,ООО,Обонятельный,ЮрФирма_AL,False,75.0,2,0.4,9,4.31,3,17.3,1072.14,116.6,1
TM20210003,Россия,Класс 03,Консалтинг,Индивидуальный предприниматель,Обонятельный,Самостоятельно,True,58.0,5,1.6,6,11.27,4,3.9,966.11,113.8,1
TM20210004,Армения,Класс 01,Химическая промышленность,Индивидуальный предприниматель,Световой,Самостоятельно,False,52.0,2,0.1,1,25.56,3,17.1,1108.58,,0
TM20210005,Казахстан,Класс 11,Косметика,Культурное учреждение,Словесный,ЮрФирма_AT,False,62.0,3,3.4,1,3.23,3,15.4,1574.27,36.1,0
TM20210006,Узбекистан,Класс 22,Энергетика,Филиал иностранной компании,Словесный,Не указано,False,40.0,5,3.9,6,33.84,1,10.6,981.95,,0
TM20210007,Россия,Класс 35,Рестораны,ООО,Форма товара,ЮрФирма_AU,False,51.0,4,0.7,8,15.78,2,26.7,1112.52,4.9,2
TM20210008,Германия,Класс 31,Финансовые услуги,ЗАО,Комбинированный,Самостоятельно,False,66.0,3,6.7,8,11.54,2,42.1,863.58,18.1,2
TM20210009,Казахстан,Класс 36,Полиграфия,Концерн,Световой,Самостоятельно,True,76.0,4,4.0,8,7.12,2,36.3,1003.35,55.1,0
TM20210010,Кыргызстан,Класс 29,Здравоохранение,АО,Комбинированный,Самостоятельно,False,96.0,5,0.6,1,5.86,4,5.5,1276.99,18.3,0
TM20210011,Беларусь,Класс 25,Деревообработка,АО,Символ,ЮрФирма_BF,True,65.0,2,3.7,1,20.21,2,9.4,985.78,24.8,0
TM20210012,Казахстан,Класс 01,Развлечения,Концерн,Рельефный,Не указано,True,51.0,2,10.0,1,3.17,3,15.9,739.79,50.4,0
TM20210013,ОАЭ,Класс 20,ИТ-услуги,ООО,Словесный,Не указано,True,45.0,3,1.9,3,500.0,3,45.7,11835.600688598093,73.8,3
TM20210014,Россия,Класс 02,Научные исследования,ЗАО,Анимационный,ЮрФирма_BV,True,93.0,2,5.5,4,18.65,3,44.1,725.93,101.5,2
TM20210015,Россия,Класс 01,Здравоохранение,ООО,Изобразительный,Самостоятельно,True,70.0,4,,2,13.8,1,29.7,13017.115336068007,11.7,1
TM20210016,Кыргызстан,Класс 03,Недвижимость,Индивидуальный предприниматель,Изобразительный,ЮрФирма_BK,True,64.0,5,7.2,2,12.19,3,21.4,943.74,12.2,0
TM20210017,Австралия,Класс 33,Оптовая торговля,Холдинг,Цветовой,ЮрФирма_BJ,True,71.0,2,0.1,7,30.75,3,13.0,468.88,,0
TM20210018,Россия,Класс 28,Одежда и обувь,Холдинг,Изобразительный,ЮрФирма_BU,False,87.0,1,9.8,3,75.05,4,62.5,452.69,70.8,1
TM20210019,Казахстан,Класс 42,Спорт,Физическое лицо,Словесный,ЮрФирма_AT,True,105.0,2,0.1,1,2.8,3,16.0,1135.73,,0
TM20210020,Чехия,Класс 44,Логистика,Индивидуальный предприниматель,Объемный,Самостоятельно,True,42.0,2,15.6,8,3.85,2,14.4,470.8,105.6,0
TM20210021,Южная Корея,Класс 38,Реклама,Концерн,Иероглифы,ЮрФирма_AQ,False,62.0,6,2.8,5,2.52,4,14.4,578.28,78.2,0
TM20210022,Вьетнам,Класс 02,Консалтинг,Медицинское учреждение,Словесный,ЮрФирма_AA,False,84.0,3,,6,9.55,3,8.2,1108.49,,0
TM20210023,Беларусь,Класс 37,Машиностроение,Иностранная компания,Звуковой,ЮрФирма_BR,False,43.0,3,1.0,4,39.11,5,39.3,1415.25,109.3,0
TM20210024,Кыргызстан,Класс 34,Электроника,Спортивная организация,Комбинированный,ЮрФирма_AH,True,117.0,6,4.7,2,7.68,3,44.3,1225.54,87.6,0
TM20210025,Россия,Класс 37,Сельское хозяйство,Физическое лицо,Изобразительный,Самостоятельно,False,62.0,2,7.5,1,10.66,4,22.7,580.74,16.6,1
TM20210026,Туркменистан,Класс 03,Пищевая промышленность,Государственное предприятие,Световой,Самостоятельно,False,123.0,5,2.6,1,24.29,2,35.9,1194.99,114.0,0
TM20210027,Казахстан,Класс 02,Металлургия,Физическое лицо,Комбинированный,ЮрФирма_AN,True,41.0,2,0.1,2,2.67,3,12.2,1374.36,93.0,0
TM20210028,Япония,Класс 40,Строительство,Иностранная компания,Обонятельный,ЮрФирма_AY,True,92.0,4,1.9,3,253.04,2,11.9,701.28,22.0,1
TM20210029,Казахстан,Класс 03,Реклама,ЗАО,Световой,ЮрФирма_AC,True,54.0,6,9.5,4,9.77,1,24.0,1119.16,79.6,0
TM20210030,Беларусь,Класс 07,Розничная торговля,Нотариальная контора,Цифры,Самостоятельно,False,68.0,9,1.1,0,6.17,4,10.3,1342.86,36.7,0
TM20210031,США,Класс 09,Программное обеспечение,Общественная организация,Позиционный,ЮрФирма_BD,False,81.0,3,8.9,9,273.77,4,17.8,1234.75,83.9,3
TM20210032,Беларусь,Класс 02,Научные исследования,Индивидуальный предприниматель,Словесный,Самостоятельно,False,90.0,3,1.5,1,12.38,1,32.7,437.11,106.4,0
TM20210033,Украина,Класс 01,Образование,ООО,Обонятельный,Самостоятельно,False,77.0,3,0.9,4,22.75,3,23.5,771.79,21.4,0
TM20210034,Казахстан,Класс 45,Деревообработка,ООО,Комбинированный,ЮрФирма_BL,False,67.0,1,4.4,1,7.77,2,10.8,907.9,47.7,0
TM20210035,Армения,Класс 37,СМИ,Фонд,Словесный,ЮрФирма_AC,True,71.0,6,0.5,5,3.2,2,11.5,946.07,53.1,0
TM20210036,Россия,Класс 39,Недвижимость,ООО,Комбинированный,ЮрФирма_BG,True,146.0,4,3.6,7,2.99,3,23.4,914.03,35.5,0
TM20210037,Казахстан,Класс 05,Транспорт,ООО,Световой,ЮрФирма_BG,True,94.0,2,1.2,2,15.85,3,8.1,589.25,86.8,0
TM20210038,Казахстан,Класс 04,Здравоохранение,ЗАО,Словесный,ЮрФирма_BH,True,49.0,2,16.7,2,13.47,1,36.4,777.44,,0
TM20210039,Россия,Класс 08,Металлургия,Индивидуальный предприниматель,Изобразительный,Не указано,True,70.0,1,9.0,0,38.07,2,25.0,784.52,2.8,1
TM20210040,Россия,Класс 09,Консалтинг,Культурное учреждение,Комбинированный,ЮрФирма_AQ,True,79.0,2,,4,2.88,2,42.8,1050.53,,1
TM20210041,Кыргызстан,Класс 01,Финансовые услуги,ЗАО,Изобразительный,ЮрФирма_BB,False,30.0,6,1.7,5,13.0,3,24.7,843.82,71.2,0
TM20210042,Кыргызстан,Класс 30,Химическая промышленность,Индивидуальный предприниматель,Речевой,Не указано,True,98.0,7,12.4,6,17.94,2,37.9,938.22,13.3,0
TM20210043,Кыргызстан,Класс 45,ИТ-услуги,ООО,Словесный,Не указано,False,51.0,4,2.2,1,291.58,3,43.4,388.26,42.2,0
TM20210044,Россия,Класс 13,Гостиничный бизнес,Совместное предприятие,Обонятельный,ЮрФирма_BU,False,56.0,5,2.6,0,7.84,1,17.0,1204.64,47.3,2
TM20210045,Россия,Класс 07,Энергетика,Иностранная компания,Обонятельный,,True,46.0,5,2.2,7,44.88,5,22.9,997.87,115.4,1
TM20210046,Россия,Класс 07,Полиграфия,ЗАО,Изобразительный,ЮрФирма_AF,True,92.0,5,1.4,0,7.02,2,41.0,1143.65,10.9,2
TM20210047,Италия,Класс 02,Логистика,ООО,Комбинированный,Не указано,True,83.0,3,0.9,2,10.98,3,22.8,764.38,3.4,0
TM20210048,Швейцария,Класс 05,Страхование,Крестьянское хозяйство,Словесный,Самостоятельно,False,94.0,1,1.6,1,23.39,2,,976.02,100.5,0
TM20210049,Россия,Класс 11,Программное обеспечение,Корпорация,Словесный,ЮрФирма_BV,False,107.0,4,3.6,1,44.65,2,25.9,1032.79,,3
TM20210050,Кыргызстан,Класс 08,Одежда и обувь,Концерн,Комбинированный,ЮрФирма_BE,True,73.0,3,0.5,2,6.65,5,15.9,893.11,19.1,0
TM20210051,Россия,Класс 14,Страхование,АО,Словесный,ЮрФирма_BS,False,58.0,3,4.1,7,29.93,3,8.9,989.45,31.3,1
TM20210052,Россия,Класс 35,Деревообработка,Самозанятый,Позиционный,Самостоятельно,False,74.0,2,1.0,4,3.19,3,54.5,1241.75,,3
TM20210053,Россия,Класс 04,Оптовая торговля,Концерн,Комбинированный,ЮрФирма_AI,True,55.0,3,,10,12.8,3,6.8,977.56,,1
TM20210054,Россия,Класс 01,Телекоммуникации,АО,Словесный,Самостоятельно,False,81.0,4,3.4,3,1.03,3,9.5,1240.44,75.7,2
TM20210055,Кыргызстан,Класс 01,Химическая промышленность,Культурное учреждение,Изобразительный,ЮрФирма_AD,True,99.0,1,20.9,7,6.11,1,24.6,1200.93,95.5,0
TM20210056,Азербайджан,Класс 02,Бытовая техника,Крестьянское хозяйство,Цветовой,Самостоятельно,True,52.0,6,24.8,8,4.32,3,64.1,518.11,0.5,1
TM20210057,Россия,Класс 16,Программное обеспечение,Концерн,Словесный,ЮрФирма_AV,False,74.0,2,3.6,4,500.0,4,20.0,1314.7,37.2,2
TM20210058,Беларусь,Класс 32,Реклама,Корпорация,Звуковой,Не указано,True,66.0,1,1.1,5,18.97,3,50.3,929.65,63.6,0
TM20210059,Китай,Класс 38,Фармацевтика,АО,Словесный,ЮрФирма_BV,False,68.0,3,3.2,1,53.0,2,21.1,1208.63,,0
TM20210060,ОАЭ,Класс 20,Оптовая торговля,ЗАО,Этикетка,ЮрФирма_BT,False,92.0,4,1.1,2,4.42,2,,1049.77,0.6,0
TM20210061,Армения,Класс 08,Туризм,Индивидуальный предприниматель,Изобразительный,ЮрФирма_BK,True,79.0,3,14.5,10,5.86,2,51.3,751.93,,2
TM20210062,Россия,Класс 03,Электроника,ПАО,Изобразительный,Самостоятельно,False,63.0,7,0.5,16,6.33,2,4.7,100.0,5.8,2
TM20210063,Армения,Класс 08,ИТ-услуги,АО,Комбинированный,ЮрФирма_BH,True,65.0,1,1.5,6,98.62,2,6.2,1772.36,89.2,0
TM20210064,Россия,Класс 06,Бытовая техника,ООО,Изобразительный,ЮрФирма_BJ,True,70.0,3,1.3,16,11.23,2,45.0,758.68,73.8,0
TM20210065,Сингапур,Класс 37,Финансовые услуги,Медицинское учреждение,Звуковой,ЮрФирма_AT,True,69.0,3,20.8,0,3.72,3,14.0,884.16,10.8,0
TM20210066,Казахстан,Класс 10,Полиграфия,Индивидуальный предприниматель,Словесный,ЮрФирма_BI,False,70.0,1,0.4,1,12.76,2,47.0,598.93,53.7,0
TM20210067,Кыргызстан,Класс 04,Логистика,Общественная организация,Словесный,,False,87.0,5,0.3,10,4.86,1,23.6,674.04,49.6,0
TM20210068,Россия,Класс 05,Оптовая торговля,ООО,Словесный,ЮрФирма_AY,True,46.0,3,16.6,11,1.66,2,,13948.580357964322,56.1,4
TM20210069,Казахстан,Класс 02,Розничная торговля,Индивидуальный предприниматель,Комбинированный,Не указано,True,79.0,3,3.0,6,7.86,5,44.2,714.71,40.7,0
TM20210070,Швеция,Класс 40,Консалтинг,Индивидуальный предприниматель,Вкусовой,Не указано,False,82.0,4,1.6,3,12.85,3,12.0,813.85,34.3,0
TM20210071,Армения,Класс 01,Косметика,АО,Словесный,,False,120.0,5,,5,4.16,2,64.7,926.12,21.0,0
TM20210072,Казахстан,Класс 01,Деревообработка,ЗАО,Цветовой,ЮрФирма_AD,True,66.0,6,0.5,7,9.57,3,28.7,1245.74,65.2,0
TM20210073,Таджикистан,Класс 03,Финансовые услуги,ООО,Позиционный,Самостоятельно,True,79.0,2,0.3,4,6.07,2,24.5,1086.4,75.0,0
TM20210074,Нидерланды,Класс 33,Консалтинг,Холдинг,Словесный,Не указано,True,92.0,3,3.8,4,33.87,2,38.9,580.4,87.3,0
TM20210075,Россия,Класс 13,Телекоммуникации,ЗАО,Словесный,ЮрФирма_BK,True,78.0,3,2.0,1,14.44,2,11.7,1332.38,38.7,1
TM20210076,Беларусь,Класс 20,Фармацевтика,Индивидуальный предприниматель,Изобразительный,,True,35.0,3,3.1,2,432.08,2,1.8,764.16,58.9,2
TM20210077,Казахстан,Класс 06,Недвижимость,ООО,Словесный,ЮрФирма_BG,False,36.0,2,1.4,10,3.55,3,13.1,478.96,,0
TM20210078,Армения,Класс 01,Электроника,Индивидуальный предприниматель,Световой,ЮрФирма_BQ,False,65.0,6,1.2,7,4.06,2,26.4,1035.39,37.6,0
TM20210079,Россия,Класс 36,Машиностроение,Индивидуальный предприниматель,Комбинированный,ЮрФирма_AH,True,69.0,5,12.1,2,15.75,1,33.8,823.01,113.8,0
TM20210080,Россия,Класс 03,Развлечения,ООО,Изобразительный,ЮрФирма_AX,False,76.0,3,10.5,11,3.8,2,8.1,197.46,86.0,1
TM20210081,Азербайджан,Класс 01,Спорт,Холдинг,Звуковой,,True,142.0,2,1.7,1,24.36,3,31.7,850.71,,0
TM20210082,Узбекистан,Класс 16,Мебель,Холдинг,Словесный,ЮрФирма_BV,False,44.0,5,11.7,8,45.12,3,,1285.03,30.9,0
TM20210083,Австралия,Класс 02,Сельское хозяйство,Ассоциация,Музыкальный,ЮрФирма_AY,True,83.0,3,3.5,1,5.51,3,43.4,1009.53,77.6,0
TM20210084,Сингапур,Класс 02,Телекоммуникации,Корпорация,Объемный,Не указано,True,45.0,3,4.6,4,35.89,2,27.6,585.34,96.9,0
TM20210085,Южная Корея,Класс 32,Научные исследования,ПАО,Изобразительный,ЮрФирма_BD,True,78.0,4,1.2,12,7.17,3,16.2,1135.84,104.4,0
TM20210086,Великобритания,Класс 11,Химическая промышленность,ООО,Комбинированный,ЮрФирма_AM,True,49.0,5,0.2,0,7.36,2,49.1,1164.19,5.5,0
TM20210087,Великобритания,Класс 04,Туризм,Индивидуальный предприниматель,Словесный,ЮрФирма_AT,False,30.0,3,20.7,2,10.54,3,20.0,1038.31,74.6,0
TM20210088,Казахстан,Класс 06,Деревообработка,Иностранная компания,Аббревиатура,ЮрФирма_BD,True,82.0,8,3.9,2,66.06,2,22.1,1483.8,86.3,0
TM20210089,Казахстан,Класс 27,Туризм,ООО,Изобразительный,Самостоятельно,True,92.0,3,,2,35.54,3,20.3,1386.63,22.5,0
TM20210090,Россия,Класс 01,Здравоохранение,ООО,Динамический,ЮрФирма_AG,True,53.0,3,5.2,2,14.68,4,5.3,1211.32,80.4,1
TM20210091,Армения,Класс 02,Электроника,Творческий коллектив,Надпись,Не указано,False,78.0,1,1.3,1,8.41,3,46.2,648.87,59.1,0
TM20210092,Россия,Класс 19,Спорт,Индивидуальный предприниматель,Комбинированный,Не указано,False,72.0,2,5.4,2,33.25,3,52.7,1117.95,100.7,3
TM20210093,Россия,Класс 19,Страхование,Индивидуальный предприниматель,Звуковой,ЮрФирма_BF,False,52.0,3,4.4,3,4.39,1,40.2,16751.147708513847,5.0,0
TM20210094,Беларусь,Класс 44,Напитки,Медицинское учреждение,Комбинированный,Самостоятельно,False,44.0,1,2.6,0,41.67,3,44.1,871.88,61.6,0
TM20210095,Казахстан,Класс 07,Энергетика,ООО,Словесный,Самостоятельно,False,84.0,2,4.8,11,69.14,3,31.2,909.1,29.8,0
TM20210096,Россия,Класс 01,Табачные изделия,АО,Оформление,Не указано,True,115.0,4,22.6,1,17.87,1,42.4,19064.131583011513,113.1,0
